restaurant_id,bike_station_id,distance
1,97b25faf822b93fdbf72da1d594c0288,142
2,97b25faf822b93fdbf72da1d594c0288,162.5
3,97b25faf822b93fdbf72da1d594c0288,195
4,97b25faf822b93fdbf72da1d594c0288,89.5
5,97b25faf822b93fdbf72da1d594c0288,152
6,3596b4831ee2ea7812de753b32306835,74.5
7,3596b4831ee2ea7812de753b32306835,118.5
8,3596b4831ee2ea7812de753b32306835,56
9,3596b4831ee2ea7812de753b32306835,146
10,3596b4831ee2ea7812de753b32306835,160
11,ace20c241ee38643c9060f290b215b9d,187
12,ace20c241ee38643c9060f290b215b9d,169
13,ace20c241ee38643c9060f290b215b9d,171
14,aed214941445e0345aa3254805a9e8b8,199
15,aed214941445e0345aa3254805a9e8b8,150.5
16,08c7a90bf297fde8c1f1156db13987d4,82
17,08c7a90bf297fde8c1f1156db13987d4,116.5
18,08c7a90bf297fde8c1f1156db13987d4,132
19,08c7a90bf297fde8c1f1156db13987d4,134.5
20,08c7a90bf297fde8c1f1156db13987d4,96
21,b562f08327af465e4531e20226789489,99
22,b562f08327af465e4531e20226789489,119
23,b562f08327af465e4531e20226789489,173
24,b562f08327af465e4531e20226789489,81
25,b562f08327af465e4531e20226789489,176
26,b562f08327af465e4531e20226789489,177.5
27,b562f08327af465e4531e20226789489,123.5
28,9a48ca226f82f52d02707b054ebc7e9e,166.5
29,9a5478470b56379c31cf4e671584d5cc,108.5
30,9a5478470b56379c31cf4e671584d5cc,106
31,9a5478470b56379c31cf4e671584d5cc,147
32,9a5478470b56379c31cf4e671584d5cc,182.5
33,e9b37f2d9b7b2e2e3ade73f13acb69b2,158.5
34,e9b37f2d9b7b2e2e3ade73f13acb69b2,137
35,e9b37f2d9b7b2e2e3ade73f13acb69b2,138.5
36,e9b37f2d9b7b2e2e3ade73f13acb69b2,190
37,e9b37f2d9b7b2e2e3ade73f13acb69b2,150.5
38,e9b37f2d9b7b2e2e3ade73f13acb69b2,145
39,e9b37f2d9b7b2e2e3ade73f13acb69b2,147.5
40,32f70f7ae14ba87523c6286a6c4d5c37,136.5
41,32f70f7ae14ba87523c6286a6c4d5c37,155.5
42,32f70f7ae14ba87523c6286a6c4d5c37,130
43,df5ab349a7a85d4b10da4cc3ec65c607,194.5
44,df5ab349a7a85d4b10da4cc3ec65c607,78.5
45,e0318460138ffbf4692005d5b5a9f900,113
46,0e0aef6fabaa808b3a3cef24657257a4,104.5
47,0e0aef6fabaa808b3a3cef24657257a4,133
48,0e0aef6fabaa808b3a3cef24657257a4,96
49,0e0aef6fabaa808b3a3cef24657257a4,146
50,0e0aef6fabaa808b3a3cef24657257a4,92.5
51,0e0aef6fabaa808b3a3cef24657257a4,89.5
52,0e0aef6fabaa808b3a3cef24657257a4,164.5
53,0e0aef6fabaa808b3a3cef24657257a4,98
54,0e0aef6fabaa808b3a3cef24657257a4,120
55,0e0aef6fabaa808b3a3cef24657257a4,175.5
56,0e0aef6fabaa808b3a3cef24657257a4,119.5
57,0e0aef6fabaa808b3a3cef24657257a4,126.5
58,2681455ba2d97283998a806b14d3e95c,105
59,2681455ba2d97283998a806b14d3e95c,132.5
60,c64ee19c62a363019ddbaedf71df2882,77
61,c64ee19c62a363019ddbaedf71df2882,151.5
62,c64ee19c62a363019ddbaedf71df2882,75.5
63,c64ee19c62a363019ddbaedf71df2882,79
64,abfaf72456a4828a22f5bf60d3a80777,58.5
65,abfaf72456a4828a22f5bf60d3a80777,99
66,abfaf72456a4828a22f5bf60d3a80777,115.5
67,89a0b49a66e54a7639ad960962148a3e,108
68,89a0b49a66e54a7639ad960962148a3e,149
69,89a0b49a66e54a7639ad960962148a3e,185.5
70,07b13214cb69f2ec007d888450f3d6bc,47.5
71,07b13214cb69f2ec007d888450f3d6bc,187
72,07b13214cb69f2ec007d888450f3d6bc,189.5
73,f5e8fa1fc4252bda2f93dd27ed2d603f,65
74,f5e8fa1fc4252bda2f93dd27ed2d603f,118
75,f5e8fa1fc4252bda2f93dd27ed2d603f,60.5
76,f5e8fa1fc4252bda2f93dd27ed2d603f,70.5
77,f5e8fa1fc4252bda2f93dd27ed2d603f,70.5
78,f5e8fa1fc4252bda2f93dd27ed2d603f,116
79,f5e8fa1fc4252bda2f93dd27ed2d603f,132
80,f5e8fa1fc4252bda2f93dd27ed2d603f,175.5
81,c2a9c5d0e4578b928554c86f3d2c1162,42
82,c2a9c5d0e4578b928554c86f3d2c1162,154
83,c2a9c5d0e4578b928554c86f3d2c1162,111.5
84,c2a9c5d0e4578b928554c86f3d2c1162,91
85,c2a9c5d0e4578b928554c86f3d2c1162,168.5
86,5f45325fdd6334a4c0d3b62853b19fa6,105.5
87,5f45325fdd6334a4c0d3b62853b19fa6,142
88,5f45325fdd6334a4c0d3b62853b19fa6,145
89,5f45325fdd6334a4c0d3b62853b19fa6,142.5
90,5f45325fdd6334a4c0d3b62853b19fa6,83.5
91,5f45325fdd6334a4c0d3b62853b19fa6,25.5
92,5f45325fdd6334a4c0d3b62853b19fa6,140
93,5f45325fdd6334a4c0d3b62853b19fa6,163
94,5f45325fdd6334a4c0d3b62853b19fa6,176
95,680b1ddfd50c4397b365c9c00f09b0d1,55.5
96,680b1ddfd50c4397b365c9c00f09b0d1,108.5
97,7f091b50fbbd892bf9fb869a64c47120,88.5
98,7f091b50fbbd892bf9fb869a64c47120,65.5
99,7c17f51469f1a7145455f65ef6afbd87,183
100,7c17f51469f1a7145455f65ef6afbd87,73.5
101,549f00f6039e8bb702a00dcca08a8ed0,82
102,0c42f45e4a14957ad4a6d521d0ba8bc3,10.5
103,0c42f45e4a14957ad4a6d521d0ba8bc3,84
104,0c42f45e4a14957ad4a6d521d0ba8bc3,137
105,0c42f45e4a14957ad4a6d521d0ba8bc3,119
106,0c42f45e4a14957ad4a6d521d0ba8bc3,65
107,0c42f45e4a14957ad4a6d521d0ba8bc3,75.5
108,0c42f45e4a14957ad4a6d521d0ba8bc3,179
109,62a202eb98c0a4b09ba6746f5ee94ab3,53.5
110,a6c6df138cbc97b9f81e7ffbbebdde6f,117
111,a6c6df138cbc97b9f81e7ffbbebdde6f,147.5
