name,category_id,latitude,longitude,location_formatted_address,rating,review_count,bike_station_id,distance
O-Cha Tea Bar,13065,49.2760572,-123.121789,"1116 Homer St (at Helmcken St), Vancouver BC V6B 2X6",4.5,32,e9b37f2d9b7b2e2e3ade73f13acb69b2,190.0
Saigon Xua,13065,49.2743960598955,-123.12363240352406,"1257 Hamilton St, Vancouver BC V6B 6K3",3.0,16,e9b37f2d9b7b2e2e3ade73f13acb69b2,150.5
Grand Chinese Yaletown Restaurant,13065,49.2746237358146,-123.123414612796,"1233 Hamilton St (Hamilton), Vancouver BC V6B 6K3",3.5,31,e9b37f2d9b7b2e2e3ade73f13acb69b2,145.0
Happy Noodle House,13065,49.27664,-123.12578,"630 Davie St, Vancouver BC V6B 2G5",4.5,66,e9b37f2d9b7b2e2e3ade73f13acb69b2,147.5
Hubbub,13065,49.2820063076819,-123.12302492559,"859 Hornby St (btwn Robson & Smithe), Vancouver BC V6Z 1T9",4.0,226,32f70f7ae14ba87523c6286a6c4d5c37,136.5
Bacchus Restaurant & Lounge,13065,49.28232,-123.12281,"845 Hornby St (btwn Smithe & Robson St), Vancouver BC V6Z 1V1",4.0,182,32f70f7ae14ba87523c6286a6c4d5c37,155.5
Earls Kitchen + Bar,13065,49.28153637059821,-123.12368905939982,"905 Hornby St (at Smithe St.), Vancouver BC V6Z 1V3",3.5,277,32f70f7ae14ba87523c6286a6c4d5c37,130.0
Score on Davie,13065,49.2823221457395,-123.134614739512,"1262 Davie St (btwn Jervis & Bute), Vancouver BC V6E 1N3",4.5,344,df5ab349a7a85d4b10da4cc3ec65c607,194.5
Kinara Indian Cuisine,13065,49.2831201857873,-123.135653703493,"1326 Davie St, Vancouver BC V6E 1N6",4.0,32,df5ab349a7a85d4b10da4cc3ec65c607,78.5
Akbar's Own Dining Lounge,13065,49.2638957,-123.1483493,"1905W Broadway W (at Cypress Street), Vancouver BC V6J 1Z3",3.5,102,e0318460138ffbf4692005d5b5a9f900,113.0
Homer St. Cafe and Bar,13065,49.2783665,-123.1182373,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",3.5,343,0e0aef6fabaa808b3a3cef24657257a4,104.5
Paramount Fine Foods,13065,49.2803610180563,-123.118611177157,"560 Robson St (at Seymour St), Vancouver BC V6B 2B7",3.5,148,0e0aef6fabaa808b3a3cef24657257a4,133.0
Uva Wine & Cocktail Bar,13065,49.27946,-123.12045,"900 Seymour St (at Smithe St.), Vancouver BC V6B 3L9",4.0,204,0e0aef6fabaa808b3a3cef24657257a4,96.0
JINYA Ramen Bar - Vancouver,13065,49.28031515071204,-123.11793569570304,"541 Robson St (at Richards St), Vancouver BC V6B 1A6",4.0,414,0e0aef6fabaa808b3a3cef24657257a4,146.0
Per Se Social Corner,13065,49.2785831916346,-123.118480343303,"891 Homer St (Homer and Smithe), Vancouver BC V6B 2W2",3.5,231,0e0aef6fabaa808b3a3cef24657257a4,92.5
Red Card Sports Bar + Eatery,13065,49.2793335643147,-123.120303153992,"560 Smithe St (Seymour), Vancouver BC V6B 0A8",3.0,112,0e0aef6fabaa808b3a3cef24657257a4,89.5
Pizza Garden Smithe,13065,49.2802367,-123.1210328,"675 Smithe St (at Granville St.), Vancouver BC V6B 2C9",3.5,145,0e0aef6fabaa808b3a3cef24657257a4,164.5
Cibo Trattoria,13065,49.27946,-123.12045,"900 Seymour St (at Smithe St), Vancouver BC V6B 3L9",3.5,132,0e0aef6fabaa808b3a3cef24657257a4,98.0
Bentoya,13065,49.2800969076001,-123.118120506406,"500 Robson St (Robson St and Richards St), Vancouver BC V6B 2B7",4.0,31,0e0aef6fabaa808b3a3cef24657257a4,120.0
Pelicana Chicken,13065,49.27920182795086,-123.1167646497488,"382 Robson St (Homer St.), Vancouver BC V6B 2B2",3.5,2,0e0aef6fabaa808b3a3cef24657257a4,175.5
Falafel King,13065,49.2802107,-123.118284,"516 Robson St, Vancouver BC V6B 2B7",3.5,34,0e0aef6fabaa808b3a3cef24657257a4,119.5
DQ / Orange Julius Store,13065,49.279578,-123.1174955,"438 Robson St, Vancouver BC V6B 0H3",3.0,13,0e0aef6fabaa808b3a3cef24657257a4,126.5
