fsq_id,category_id,chains,distance,latitude,longitude,location_country,location_cross_street,location_formatted_address,location_locality,location_postcode,location_region,location_timezone,name,bike_station_id
61794c46f00b4e7b5c22ca0e,13065,[],120,49.282251,-123.104519,CA,,"315 Carrall St, Vancouver BC V6B 2J4",Vancouver,V6B 2J4,BC,,Brick Yard,97b25faf822b93fdbf72da1d594c0288
1d62d29659284cc2a2307a04,13065,[],138,49.282405,-123.104694,CA,,"2 Cordova St W, Vancouver BC V6B 1C9",Vancouver,V6B 1C9,BC,,Prime Time Chicken,97b25faf822b93fdbf72da1d594c0288
84129787f2884df0e43e9ac7,13065,[],150,49.281565,-123.102432,CA,,"375 Columbia St, Vancouver BC",Vancouver,,BC,,Adriatic Divine Sandwiches,97b25faf822b93fdbf72da1d594c0288
6bc25a0df6b545f4ff184d5e,13065,[],157,49.282421,-123.105426,CA,,"36 Cordova St W, Vancouver BC V6B 1C9",Vancouver,V6B 1C9,BC,,Jack's Place,97b25faf822b93fdbf72da1d594c0288
662ab9014d554d9036511725,13065,[],184,49.280259,-123.10654,CA,,"88 Pender St W, Vancouver BC V6B 6N9",Vancouver,V6B 6N9,BC,,Glorious Sun Restaurant,97b25faf822b93fdbf72da1d594c0288
dcd4abf4fd514f9d99063aa8,13065,[],187,49.280335,-123.102165,CA,,"101 Pender St E, Vancouver BC V6A 1T6",Vancouver,V6A 1T6,BC,,Pleasure Republic,97b25faf822b93fdbf72da1d594c0288
4b9ebca4b6b74a7d2b18d1af,13065,[],194,49.282899,-123.104006,CA,,"210 Carrall St, Vancouver BC V6B 2J1",Vancouver,V6B 2J1,BC,,Shebeen,97b25faf822b93fdbf72da1d594c0288
5843e327be6f4b0d141a2319,13065,[],194,49.280244,-123.106701,CA,,"88 Pender St W, Vancouver BC V6B 6N9",Vancouver,V6B 6N9,BC,,Giant Panda Szechuan Cuisine,97b25faf822b93fdbf72da1d594c0288
50d4bd11e4b0b55bb4b657a3,13065,[],49,49.266477,-123.140728,CA,at W 6th Ave,"2150 Fir St (at W 6th Ave), Vancouver BC V6J 3B5",Vancouver,V6J 3B5,BC,America/Vancouver,Beaucoup Bakery & Cafe,57e928d8c30fab0ebffb3ede850f89d6
51f0a5ab498e51fcfd61c69a,13065,[],129,49.266297,-123.139334,CA,btwn Fir & Granville,"1535 6th Ave W (btwn Fir & Granville), Vancouver BC V6J 1R1",Vancouver,V6J 1R1,BC,America/Vancouver,Farmer's Apprentice Restaurant,57e928d8c30fab0ebffb3ede850f89d6
4ad69b00f964a520f80721e3,13065,[],182,49.266415,-123.138696,CA,at W 6th Ave,"2141 Granville St (at W 6th Ave), Vancouver BC V6H 3E9",Vancouver,V6H 3E9,BC,America/Vancouver,Cheesecake Etc,57e928d8c30fab0ebffb3ede850f89d6
4aeb3af1f964a520e1bf21e3,13065,[],177,49.265478,-123.139832,CA,btwn Fir & Granville,"1551 7th Ave W (btwn Fir & Granville), Vancouver BC V6J 1S1",Vancouver,V6J 1S1,BC,America/Vancouver,Salade de Fruits Inc,57e928d8c30fab0ebffb3ede850f89d6
5546c9e5498e448ae20d6ccb,13065,[],121,49.266302,-123.139578,CA,between Fir & Granville,"1537 6th Ave W (between Fir & Granville), Vancouver BC V6J 1R1",Vancouver,V6J 1R1,BC,America/Vancouver,Grapes & Soda,57e928d8c30fab0ebffb3ede850f89d6
6084a4cf0cccc51c8d96523a,13065,[],5,49.266755,-123.141401,CA,,"1605 5th Ave W, Vancouver BC V6J 1N5",Vancouver,V6J 1N5,BC,America/Vancouver,Las Autenticas,57e928d8c30fab0ebffb3ede850f89d6
5fbc00e8d90bc5545327794b,13065,[],60,49.267409,-123.141132,CA,,"1605 5th Ave W, Vancouver BC V6J 1N5",Vancouver,V6J 1N5,BC,America/Vancouver,Antojos y Sabores,57e928d8c30fab0ebffb3ede850f89d6
4d9cffc2a695721ebd2a080d,13065,[],61,49.267203,-123.141196,CA,,"1605 5th Ave W, Vancouver BC V6J 1N5",Vancouver,V6J 1N5,BC,America/Vancouver,Lazy Gourmet,57e928d8c30fab0ebffb3ede850f89d6
48a78980b8f5454373009510,13065,[],180,49.267826,-123.143033,CA,,"1688 4th Ave W, Vancouver BC V6J 1L9",Vancouver,V6J 1L9,BC,,Sonoma,57e928d8c30fab0ebffb3ede850f89d6
5453fb6d498e366a912293d5,13065,[],33,49.268082,-123.157004,CA,btwn Vine & Yew,"2278 4th Ave W (btwn Vine & Yew), Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Au Comptoir,3596b4831ee2ea7812de753b32306835
5780683c498e51523ab4851b,13065,[],72,49.268036,-123.158378,CA,,"2340 4th Ave W, Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,America/Vancouver,Raisu,3596b4831ee2ea7812de753b32306835
4bb6483ff562ef3b59e92f97,13065,[],54,49.268087,-123.158139,CA,Vine St,"2324 4th Ave W (Vine St), Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,America/Vancouver,Maria's Taverna,3596b4831ee2ea7812de753b32306835
4aaa6f4ff964a520ef5520e3,13065,[],134,49.268113,-123.159358,CA,at Balsam St,"2380 4th Ave W (at Balsam St), Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,America/Vancouver,Terra Breads,3596b4831ee2ea7812de753b32306835
4aae8205f964a5204a6220e3,13065,[],188,49.268036,-123.15481,CA,at Yew St,"2198 4th Ave W (at Yew St), Vancouver BC V6K 1N6",Vancouver,V6K 1N6,BC,America/Vancouver,49th Parallel Coffee,3596b4831ee2ea7812de753b32306835
4ac4169cf964a5202b9e20e3,13065,[],40,49.268061,-123.156921,CA,at Vine St.,"2274 4th Ave W (at Vine St.), Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Hi Nippon Japanese Restaurant,3596b4831ee2ea7812de753b32306835
4b03579ef964a520c14e22e3,13065,[],117,49.268057,-123.155785,CA,at Yew St,"2222 4th Ave W (at Yew St), Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Simpatico Ristorante,3596b4831ee2ea7812de753b32306835
4aa7d9cdf964a5209a4d20e3,13065,[],15,49.268087,-123.157247,CA,at Vine St,"2296 4th Ave W (at Vine St), Vancouver BC V6K 1N8",Vancouver,V6K 1N8,BC,America/Vancouver,Browns Socialhouse Kitsilano,3596b4831ee2ea7812de753b32306835
51c8fd70498e48a12893ba67,13065,[],155,49.268082,-123.15968,CA,at Balsam St,"2394 4th Ave W (at Balsam St), Vancouver BC V6K 1P1",Vancouver,V6K 1P1,BC,America/Vancouver,Peaceful Restaurant,3596b4831ee2ea7812de753b32306835
